Date,inflow,Year,Month,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_3,rolling_std_3,rolling_min_3,rolling_max_3,rolling_mean_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_12,rolling_std_12,rolling_min_12,rolling_max_12,month_sin,month_cos,time_index,time_index_norm,diff_1,diff_pct_1,diff_12,diff_pct_12
2003-10-01,17.97843707586722,2003,10,15.53744805356336,12.829586563254434,13.538692359574029,131.45670992374232,16.64556489091554,7.513385191046692,13.968575658797254,1.4041823958755026,12.829586563254434,15.53744805356336,47.759822153256955,47.03654177868732,12.829586563254434,131.45670992374232,37.83089642071759,35.19534919570955,12.829586563254434,131.45670992374232,-0.8660254037844386,0.5000000000000001,57,0.20357142857142857,2.7078614903089253,0.2110638154205673,2.835757617589019,0.22325828454750005
2003-11-01,14.8107893675527,2003,11,17.97843707586722,15.53744805356336,12.829586563254434,71.94895274004398,15.177624793759732,13.960214100930582,15.448490564228317,2.575577697622168,12.829586563254434,17.97843707586722,28.846776678611107,23.65469700671479,12.829586563254434,71.94895274004398,37.941969102796904,35.124444323537475,12.829586563254434,131.45670992374232,-0.5000000000000004,0.8660254037844384,58,0.20714285714285716,2.44098902230386,0.15710359988904643,1.332872184951679,0.08007371294915352
2003-12-01,30.13203038695198,2003,12,14.8107893675527,17.97843707586722,15.53744805356336,41.247543279363626,21.438445569378366,37.667332101773624,16.108891498994407,1.6593398414704097,14.8107893675527,17.97843707586722,19.32374944986256,10.888585999714818,12.829586563254434,41.247543279363626,37.91139948394632,35.146210670587806,12.829586563254434,131.45670992374232,-2.4492935982947064e-16,1.0,59,0.21071428571428572,-3.1676477083145205,-0.1761914951198128,-0.36683542620703236,-0.02416948838779151
2004-01-01,45.77579519035763,2004,1,30.13203038695198,14.8107893675527,17.97843707586722,13.538692359574029,23.431582643721303,54.39840266709262,20.973752276790616,8.08789474822045,14.8107893675527,30.13203038695198,17.471163967793952,6.455699628890444,12.829586563254434,30.13203038695198,38.635864885410776,34.86425564825476,12.829586563254434,131.45670992374232,0.49999999999999994,0.8660254037844387,60,0.21428571428571427,15.32124101939928,1.0344648512094077,8.693584817573612,0.40551376681857504
2004-02-01,46.118424679977416,2004,2,45.77579519035763,30.13203038695198,14.8107893675527,12.829586563254434,30.854813102900636,37.1142677947675,30.239538314954086,15.48278285281824,14.8107893675527,45.77579519035763,22.84401443959122,12.812985374489418,12.829586563254434,45.77579519035763,40.49788259763047,34.573876932687206,12.829586563254434,131.45670992374232,0.8660254037844386,0.5000000000000001,61,0.21785714285714286,15.643764803405649,0.5191739355931302,22.344212546636324,0.9535938261781755
2004-03-01,87.11449594295296,2004,3,46.118424679977416,45.77579519035763,30.13203038695198,15.53744805356336,59.86379312839379,75.42076439661264,40.67541675242899,9.1324474146082,30.13203038695198,46.118424679977416,28.392154125711716,14.680471746654527,14.8107893675527,46.118424679977416,41.76985022905354,34.46746754929296,12.829586563254434,131.45670992374232,1.0,6.123233995736766e-17,62,0.22142857142857142,0.3426294896197888,0.007484948938515812,15.26361157707678,0.49469142873018607
2004-04-01,71.01738869746303,2004,4,87.11449594295296,46.118424679977416,45.77579519035763,17.97843707586722,131.45670992374232,134.9434069739638,59.66957193776265,23.768618785697072,45.77579519035763,87.11449594295296,40.321662107276644,26.48309743866027,14.8107893675527,87.11449594295296,44.04074213026681,36.59971713356628,12.829586563254434,131.45670992374232,0.8660254037844387,-0.49999999999999983,63,0.225,40.99607126297554,0.8889304339307631,27.25070281455917,0.45521176307877464
2004-05-01,55.16940635742762,2004,5,71.01738869746303,87.11449594295296,46.118424679977416,14.8107893675527,71.94895274004398,75.74654976058103,68.08343644013111,20.654915193143967,46.118424679977416,87.11449594295296,49.16148737754261,26.385318307612465,14.8107893675527,87.11449594295296,39.00413202807686,26.140722282069973,12.829586563254434,87.11449594295296,0.49999999999999994,-0.8660254037844387,64,0.22857142857142856,-16.097107245489923,-0.1847810409880709,-60.43932122627929,-0.4597659660076688
2004-06-01,25.040100011763105,2004,6,55.16940635742762,71.01738869746303,87.11449594295296,30.13203038695198,41.247543279363626,37.256385296444904,71.10043033261452,15.972706692720756,55.16940635742762,87.11449594295296,55.887923542521776,20.32525565288785,30.13203038695198,87.11449594295296,37.60583649619217,24.622980938688244,12.829586563254434,87.11449594295296,1.2246467991473532e-16,-1.0,65,0.23214285714285715,-15.847982340035415,-0.22315636537339423,-16.77954638261636,-0.23321460206991337
2004-07-01,13.26982203971731,2004,7,25.040100011763105,55.16940635742762,71.01738869746303,45.77579519035763,13.538692359574029,16.93705693875779,50.4089650222179,23.355387387100365,25.040100011763105,71.01738869746303,55.03926847999029,21.677089189413724,25.040100011763105,87.11449594295296,36.25521622389213,24.84853882120672,12.829586563254434,87.11449594295296,-0.4999999999999998,-0.8660254037844388,66,0.2357142857142857,-30.129306345664514,-0.546123446579521,-16.20744326760052,-0.3929311173232757
